name,quantile
MEHMET,0.0644921717438877
ALI,0.10386273931388139
MUSTAFA,0.14187855982987474
AHMET,0.1738043072673686
HUSEYIN,0.1967763768925477
HASAN,0.2188322954672265
IBRAHIM,0.23801878078977112
MURAT,0.25489540896431484
ISMAIL,0.27090933973662534
OSMAN,0.283954484026773
HALIL,0.29503311691252343
RAMAZAN,0.30601496571776726
OMER,0.31675029120542925
YUSUF,0.32642060835236647
SULEYMAN,0.33463456282987447
ABDULLAH,0.34238798766915596
KEMAL,0.34936675640923237
FATIH,0.35627282205238314
MAHMUT,0.3627216557716193
RECEP,0.36901695404776985
YASAR,0.3752018939310131
HAKAN,0.38121953233119377
SALIH,0.3872348316549437
METIN,0.3931673046657404
ADEM,0.39883354476411353
KADIR,0.40413508066688525
ORHAN,0.40928415480099845
BAYRAM,0.4140715540352155
SERKAN,0.41872225150754433
EMIN,0.42334683568398374
GOKHAN,0.427732795718984
YILMAZ,0.4319050945429769
UGUR,0.43588014403649206
BEKIR,0.4397364374692589
AYHAN,0.4435572229548985
BULENT,0.44733793737709543
MUSA,0.451018148203806
CEMAL,0.45468666364836335
EROL,0.45834428896658796
ERKAN,0.4619815911617268
CENGIZ,0.4654780886248451
ZEKI,0.4689623538685966
ERCAN,0.4723854963610298
MESUT,0.47575890472017573
HACI,0.47910037126511323
IHSAN,0.4824131170191239
KENAN,0.48571336213516114
AYDIN,0.4889680144335587
ERDAL,0.49221990585485786
ARIF,0.4954355224187247
EMRE,0.4986477262317337
SUKRU,0.5018279882305343
NURI,0.5049792610198013
SINAN,0.5081289616429427
MUHAMMET,0.5112521655150422
ISMET,0.5143053504762839
SABAN,0.5173352597097651
SERDAR,0.5203547773086119
FARUK,0.5233741798709128
YUNUS,0.5263902080278714
SEDAT,0.5292949574995565
MUZAFFER,0.5321736703663826
CELAL,0.5350419915985744
DURSUN,0.5378845829900292
YAKUP,0.5407173579295784
SELAHATTIN,0.5435347179719947
UMIT,0.5463181038878939
NIHAT,0.5490879921824231
ENGIN,0.5518484474801992
RIZA,0.5545894999472557
EMRAH,0.5573146773709962
YASIN,0.5599769681497165
ABDURRAHMAN,0.5626262214532498
MUHARREM,0.5652701447301625
EKREM,0.5678806307177717
ADNAN,0.5704686078879255
ISA,0.5730512166859436
BILAL,0.5756065618226145
CEMIL,0.5781270125404022
MEVLUT,0.5806239958028533
NURETTIN,0.583102074726283
SELIM,0.5855797318490449
KAMIL,0.5880373342673278
ERHAN,0.5904805187718745
KAZIM,0.592911125947417
NECATI,0.5953274302457691
OZGUR,0.5977020913145529
IRFAN,0.6000603021572919
HARUN,0.6024097702225524
ILHAN,0.6047191288788549
SABRI,0.6070093531230447
HAKKI,0.6092972766363192
VELI,0.6115361945810961
FERHAT,0.6137560548047909
ZAFER,0.615960576822383
YUKSEL,0.6181339622815873
SAHIN,0.6203012124583506
ONUR,0.6224535845751944
ABDULKADIR,0.6246046145990043
LEVENT,0.6267013473732114
ERDOGAN,0.6287759164396005
HALIT,0.6308490283764099
HIKMET,0.63288931655216
YAVUZ,0.6348881148804029
ILYAS,0.6368812380723878
DURMUS,0.6388701049121793
SADIK,0.6408544469811707
VEYSEL,0.6428371018474908
SELCUK,0.644819641677265
SAMI,0.646781474928801
BURHAN,0.6487347954759501
TURAN,0.6506672177172845
TUNCAY,0.652599486576558
BARIS,0.6545179893958545
MUAMMER,0.656434689975934
FIKRET,0.6583323328349311
AZIZ,0.660219162258626
NEVZAT,0.6620654604726951
VEDAT,0.663910071484093
OZCAN,0.6657444058974022
MEMET,0.667570150915294
REMZI,0.6693916779265077
VOLKAN,0.6711975983130121
BURAK,0.6729953127592516
SAIT,0.6747788010193312
HAYDAR,0.6765473345284608
CETIN,0.6782885276852127
CAN,0.6800169517853845
DOGAN,0.6817377451280201
ERSIN,0.6834490287828723
OZKAN,0.6851261465836312
TAHSIN,0.6867822510420298
ENVER,0.68842063987238
EYUP,0.6900570730814521
NIYAZI,0.6916680832139094
SUAT,0.6932413997048699
HAMZA,0.6947944314182599
ZIYA,0.6963415579223005
CIHAN,0.6978853483665136
CUMA,0.6994191306312451
IDRIS,0.7009476595603863
FEVZI,0.7024623074130049
DAVUT,0.7039760733187725
CAFER,0.7054749228191055
SENOL,0.7069616934821329
YALCIN,0.7084372672547053
OKTAY,0.7098992283693619
CEM,0.711361112792988
FUAT,0.7128152514225323
TURGUT,0.7142465744704992
SEVKET,0.7156702667609302
SONER,0.7170767035694958
HAMDI,0.7184829486504852
HAYRETTIN,0.7198871230736508
TAHIR,0.7212896869851755
ADIL,0.7226702789164585
MUHAMMED,0.724030586070171
TANER,0.7253871353633884
HAMIT,0.7267433778924837
SERIF,0.7280949422687177
SALIM,0.7294429021665177
IZZET,0.7307812756855038
UFUK,0.7320836044201489
FAHRI,0.7333780339786513
ERDEM,0.7346614967197904
SAVAS,0.7359404730356446
RIDVAN,0.7372187974777393
DENIZ,0.7384803649296672
TURGAY,0.7397237182618485
ILKER,0.7409654994279041
FAHRETTIN,0.7421964288131423
SERHAT,0.7434241371750989
YUCEL,0.7446487778958351
CEVDET,0.7458633720915742
HILMI,0.7470692235098348
UNAL,0.7482646832934611
OGUZ,0.7494576889641109
AKIF,0.7506498893789403
DURAN,0.7518313913950133
SERVET,0.7530096723878048
SAKIR,0.7541860744503487
ONDER,0.7553546540277803
ALPER,0.7565052495585568
KASIM,0.7576556533617571
ZEKERIYA,0.7588001903011231
ERGUN,0.7599361378450717
TEVFIK,0.7610672155085829
RESUL,0.7621874030457613
UMUT,0.763307053745726
YAHYA,0.7644256691167789
MUHITTIN,0.7655279876438479
COSKUN,0.7666270851476354
TOLGA,0.7677232683922635
SELAMI,0.7688067592713417
NECMETTIN,0.7698884479112028
NECDET,0.7709700982055487
RIFAT,0.7720502146792845
KERIM,0.7731258830732504
NAZIM,0.7741792343773373
HUSNU,0.7752239962860068
SEBAHATTIN,0.7762674544471576
SEREF,0.7773097238973354
BIROL,0.7783282574735697
BAHATTIN,0.7793381249633561
OKAN,0.7803413970245184
RASIM,0.7813359263082023
FEHMI,0.7823226714522892
CUNEYT,0.7833065023372167
HAYRI,0.7842902565311136
LUTFI,0.7852631972897083
NACI,0.7862341057359944
CAHIT,0.7872002593383888
ATILLA,0.7881588588742777
TARIK,0.7891158478985258
NEDIM,0.7900719933214383
SERAFETTIN,0.7910269883788931
SEYIT,0.7919804496157377
SEMIH,0.7929319168857889
FIRAT,0.7938821954448673
SAMET,0.7948184011998465
BAHRI,0.7957492769282052
NAZMI,0.7966801526565639
SEYFETTIN,0.7976017104247153
TAMER,0.7985212358805581
MUHSIN,0.799439419243367
SATILMIS,0.8003371261010291
MUSLUM,0.8012323788457149
HALIS,0.8021200391783798
TAYFUN,0.8029978063681087
ERTUGRUL,0.8038527579762602
RAHMI,0.8046958991657128
ERTAN,0.8055311028335074
AYKUT,0.806362586986322
CEVAT,0.8071790780426715
HANIFI,0.8079912360557971
SEZGIN,0.8087959933844783
EYYUP,0.8095987567463662
SEFER,0.8103956915899351
ESREF,0.8111916294501073
SADETTIN,0.8119865319813676
BUNYAMIN,0.8127708128049019
FERIT,0.813548459854297
FIKRI,0.814319971621251
KEREM,0.8150897961855339
FERDI,0.8158557095072605
FAIK,0.8166110394667765
HAYATI,0.817358508595665
ERDINC,0.8181037920301838
SEZAI,0.8188472732254856
MAHIR,0.8195877634705974
ASIM,0.8203212748319325
ILHAMI,0.8210525238078676
AKIN,0.8217780209565143
RESIT,0.8225026361583101
NURULLAH,0.8232249122836752
CANER,0.8239369885019822
VEYSI,0.8246406287069329
BAKI,0.8253436553836394
EMRULLAH,0.8260450332031899
NIZAMETTIN,0.8267336036206449
SABAHATTIN,0.8274217522374321
NECIP,0.828109709126643
RAFET,0.8287886164742534
NAIL,0.8294669102936196
SERCAN,0.8301415612890366
GURKAN,0.8308159438658468
REFIK,0.8314898662964739
OZAN,0.8321635969995248
HIDAYET,0.8328293134898871
TEKIN,0.8334946081795815
NUSRET,0.8341559916267199
NECMI,0.8348170683097362
SEYHMUS,0.8354744254777726
ALAATTIN,0.8361289450776802
GALIP,0.8367777128502992
RESAT,0.8374252152209148
OGUZHAN,0.8380705702426761
ZEYNEL,0.8387135478424915
CUMALI,0.8393549916216967
HUSAMETTIN,0.8399958985636882
EREN,0.8406360769408899
SERDAL,0.8412732643679016
RASIT,0.8419080743729674
HIDIR,0.8425425009228807
CEMALETTIN,0.8431747034329091
ABIDIN,0.8438020744080152
FETHI,0.8444275281073585
GAZI,0.8450516013681526
TALIP,0.8456699611471736
HASIM,0.8462791563480483
SEVKI,0.8468879680937704
SEFA,0.8474955911285197
NADIR,0.8480998397579262
HALUK,0.8487022094570854
SIDDIK,0.8492940724850643
MERT,0.8498832896724906
SAIM,0.8504722000957947
MUMIN,0.851058579715092
HALIM,0.8516370985037618
AVNI,0.8522074113521668
KADRI,0.852776113688931
ERGIN,0.853343742351268
ABDULKERIM,0.8539073447345031
BASRI,0.8544657704731786
ASLAN,0.8550232759194881
CAVIT,0.8555796310003397
BAHADIR,0.8561303492904488
ETHEM,0.8566805307433443
GUVEN,0.8572301753590262
KORAY,0.8577756019680299
MUTLU,0.8583204150487895
ENDER,0.8588540695846095
SEMSETTIN,0.859384042950965
MIKAIL,0.8599134794801069
ESAT,0.8604391581487537
LOKMAN,0.8609640315615801
OZER,0.861475522389582
TURHAN,0.8619864763803705
MITHAT,0.8624925604907213
MELIH,0.8629985295645265
ABDURRAHIM,0.8635044602928164
TEMEL,0.8640100075659536
NAIM,0.8645153247659993
SEFIK,0.8650169224510653
ARSLAN,0.8655169096244905
LATIF,0.866012026917478
GURSEL,0.8665002036722043
MURSEL,0.8669800594501199
FAZLI,0.8674586114805168
UZEYIR,0.8679317184477474
